,Mean,Std,Max,Min,"Range (i.e., max-min)",Percentage above mean,Sum of net loads during business hours,Sum of net loads during non-business hours,Skewness,Kurtosis,Mode of 5-bin histogram,Longest period above mean,Longest period of successive increase,Peak_all: number,Peak_all: time,Peak_all: shortest interval between two peaks,Peak_all: duration,Peak_longest: occurrence time,Peak_longest: duration,Peak_longest: upward slope,Peak_longest: downward slope,Season,Intra-week Group,Installed PV Capacity (kW)
141,14.869117255242289,13.095874300579036,37.84600000000001,-26.331493445767194,64.1774934457672,0.4583333333333333,159.27148081589414,554.4461474357355,-1.1901689403313425,2.398416861081148,18.592751966269844,7.5,3.5,1,[18.5],,[3.5],18.5,3.5,2.0,-1.0,3,3,266.79999999999995
142,13.74047585513294,11.186105806951463,36.39000000000001,-20.441170249682532,56.83117024968254,0.4166666666666667,144.1623454473969,515.3804955989842,-0.49223993447088843,1.3239873056175826,7.97441487515874,7.5,3.5,1,[19.25],,[4.],19.25,4.0,1.0,-1.0,3,3,266.79999999999995
143,8.172803545270943,20.25319361543011,33.164,-55.004480803544986,88.16848080354498,0.7291666666666666,-142.9993420057884,535.2939121787937,-1.3552254010566676,1.6411675015794973,6.7134557589365045,8.0,3.5,2,[18.   19.75],0.875,[1.5 1. ],18.0,1.5,1.0,-1.0,3,3,266.79999999999995
144,-9.624779016545418,49.085336370470976,34.55400000000001,-128.1927078174603,162.7467078174603,0.7083333333333334,-1024.8173272386243,562.8279344444444,-1.271665931452494,0.21182426999816695,18.27932921825398,9.0,1.5,0.0,,,,,,,,3,3,266.79999999999995
145,-0.9968692304217335,43.415121609115594,39.385000000000005,-105.68666850857142,145.0716685085714,0.75,-707.6239982737566,659.7742752135131,-1.3389174436801328,0.4541615409566413,24.87783314914286,10.0,3.0,0.0,,,,,,,,3,3,266.79999999999995
146,12.508035467635581,22.262420064260454,38.401,-57.37073469412698,95.77173469412699,0.5833333333333334,-28.771297553492076,629.157,-1.7407337356677453,2.6634306294519297,9.669479591761913,8.0,3.5,1,[17.5],,[0.5],17.5,0.5,1.0,-1.0,3,3,266.79999999999995
147,21.47956208408201,8.932127851386156,38.44699999999999,10.039,28.407999999999987,0.4791666666666667,376.15598003593647,654.8629999999999,0.3212908361778571,-1.2638176046067948,12.8798,9.0,3.0,1,[18.25],,[5.],18.25,5.0,2.0,-1.0,3,3,266.79999999999995
148,12.218687682444441,24.754674218654245,39.257000000000005,-59.07063975201059,98.3276397520106,0.7291666666666666,-133.65399124266673,720.151,-1.4564380853683523,1.4605577953366922,29.424236024798944,8.5,3.5,1,[18.],,[0.5],18.0,0.5,1.0,-1.0,2,3,266.79999999999995
149,22.75053261302645,8.702686232886029,40.011,10.532999999999996,29.47800000000001,0.4791666666666667,408.28856542526995,683.737,0.2382005414970426,-1.0008031370567743,13.480799999999995,8.0,3.0,2,[18.75 21.5 ],1.375,[4.  0.5],18.75,4.0,1.0,-1.0,2,3,266.79999999999995
150,19.75309240716116,10.092570145108203,35.65,-8.768748397830699,44.4187483978307,0.5208333333333334,346.8504355437354,601.298,-0.5570875900902087,0.04267757038780351,13.440625801084652,12.0,2.0,1,[18.],,[2.5],18.0,2.5,1.0,-1.0,2,3,266.79999999999995
151,17.227249854931433,19.703007014650957,35.752999999999986,-67.12419689153438,102.87719689153437,0.5833333333333334,150.908993036709,675.999,-2.9921315654889713,10.007618670455226,25.465280310846552,9.0,3.0,0.0,,,,,,,,2,3,266.79999999999995
